path,id,parent_id,level,object_id,object_type,object_key,query_status,query_time,query_type,snippet.topLevelComment.snippet.textOriginal,snippet.topLevelComment.snippet.likeCount,snippet.totalReplyCount
PRaNTFdCahk/UgxX2SnZ6SSxw1jEhRF4AaABAg,16021,15999,1,UgxX2SnZ6SSxw1jEhRF4AaABAg,data,items.*,fetched (200),2023-10-16 14:50:27.790301,YouTube:/commentThreads,Onana❤😊,0,0
PRaNTFdCahk/Ugwe8fjsEsqcg0J_Spl4AaABAg,16022,15999,1,Ugwe8fjsEsqcg0J_Spl4AaABAg,data,items.*,fetched (200),2023-10-16 14:50:27.790301,YouTube:/commentThreads,Utd are embarrassing,0,0
PRaNTFdCahk/UgwhldGLRkSS2iwgcjJ4AaABAg,16023,15999,1,UgwhldGLRkSS2iwgcjJ4AaABAg,data,items.*,fetched (200),2023-10-16 14:50:27.790301,YouTube:/commentThreads,it should of been 2-1 we just need to focus 🧘‍♂,0,0
PRaNTFdCahk/UgyLPhyvnyIeexP-gwd4AaABAg,16024,15999,1,UgyLPhyvnyIeexP-gwd4AaABAg,data,items.*,fetched (200),2023-10-16 14:50:27.790301,YouTube:/commentThreads,MANCHESTER UNITED❤🎉,0,0
PRaNTFdCahk/Ugz6KEn7c4HXzXdjP4t4AaABAg,16025,15999,1,Ugz6KEn7c4HXzXdjP4t4AaABAg,data,items.*,fetched (200),2023-10-16 14:50:27.790301,YouTube:/commentThreads,WOLVES BAPUK😂,0,0
PRaNTFdCahk/UgwVQqHMKcVp8-FBg-N4AaABAg,16026,15999,1,UgwVQqHMKcVp8-FBg-N4AaABAg,data,items.*,fetched (200),2023-10-16 14:50:27.790301,YouTube:/commentThreads,Close tied game,0,0
PRaNTFdCahk/UgxLnNI6z2CF0zW3wCl4AaABAg,16027,15999,1,UgxLnNI6z2CF0zW3wCl4AaABAg,data,items.*,fetched (200),2023-10-16 14:50:27.790301,YouTube:/commentThreads,Small Man u😅,0,0
PRaNTFdCahk/UgypXL7fDEYrOX0ZINR4AaABAg,16028,15999,1,UgypXL7fDEYrOX0ZINR4AaABAg,data,items.*,fetched (200),2023-10-16 14:50:27.790301,YouTube:/commentThreads,i feel like wolves need a strong striker i mean real no 9,0,0
PRaNTFdCahk/UgyAWA3a93aMjZATEl54AaABAg,16029,15999,1,UgyAWA3a93aMjZATEl54AaABAg,data,items.*,fetched (200),2023-10-16 14:50:27.790301,YouTube:/commentThreads,M a united fan from india you lost but you were superior well played wolves it was fun watching you ...can't say the same for united,0,0
PRaNTFdCahk/UgwwgZICddctxFu0Wm54AaABAg,16030,15999,1,UgwwgZICddctxFu0Wm54AaABAg,data,items.*,fetched (200),2023-10-16 14:50:27.790301,YouTube:/commentThreads,I always knew it was going be a tough game for United. It's always tough playing a team that just changed a manager. The new manager wants to make a point.  United managed to take all 3 points which is the most important thing after all is said and done .,0,0
PRaNTFdCahk/UgwbwIox-QQ0y_I6Znl4AaABAg,16031,15999,1,UgwbwIox-QQ0y_I6Znl4AaABAg,data,items.*,fetched (200),2023-10-16 14:50:27.790301,YouTube:/commentThreads,❤,0,0
PRaNTFdCahk/Ugy14tTCnDRhr6QyvWZ4AaABAg,16032,15999,1,Ugy14tTCnDRhr6QyvWZ4AaABAg,data,items.*,fetched (200),2023-10-16 14:50:27.790301,YouTube:/commentThreads,"What a shambolic performance. Team needs to up their game. Otherwise, we are going to witness other Annfield and Etihad beatings",0,0
