path,id,parent_id,level,object_id,object_type,object_key,query_status,query_time,query_type,snippet.topLevelComment.snippet.textOriginal,snippet.topLevelComment.snippet.likeCount,snippet.totalReplyCount
j3LftIHVMZE/Ugzn_2I8ihYxwUtMZ7R4AaABAg,14048,14027,1,Ugzn_2I8ihYxwUtMZ7R4AaABAg,data,items.*,fetched (200),2023-10-16 14:47:04.938112,YouTube:/commentThreads,You can lose to Manchester United but don't lose to Liverpool 👍,1,0
j3LftIHVMZE/UgzeC_zWfqowx-0RpWd4AaABAg,14049,14027,1,UgzeC_zWfqowx-0RpWd4AaABAg,data,items.*,fetched (200),2023-10-16 14:47:04.938112,YouTube:/commentThreads,ምንጊማንቼ,0,0
j3LftIHVMZE/UgzMPY9OGWL1910zPlR4AaABAg,14050,14027,1,UgzMPY9OGWL1910zPlR4AaABAg,data,items.*,fetched (200),2023-10-16 14:47:04.938112,YouTube:/commentThreads,"As a Man Utd fan, even though we dominated the game I have to respect ur goalie who kept the scoreline very respectable. U gave us a bit of a tough game. Enjoy the rest of the season, ur a good club 👍",37,1
j3LftIHVMZE/UgwsdDlP2TvviWyuZqp4AaABAg,14051,14027,1,UgwsdDlP2TvviWyuZqp4AaABAg,data,items.*,fetched (200),2023-10-16 14:47:04.938112,YouTube:/commentThreads,"I would like to see us play more adventurous for rest of season, because that’s what we want to be doing next season. Fed up of watching this tippy tappy side to side backwards football. I know some of the teams that are being relegated, but at least it’s decent to watch.🐺",2,0
j3LftIHVMZE/Ugw6jZ-4xb54MKLdSSR4AaABAg,14052,14027,1,Ugw6jZ-4xb54MKLdSSR4AaABAg,data,items.*,fetched (200),2023-10-16 14:47:04.938112,YouTube:/commentThreads,Man u,0,0
j3LftIHVMZE/UgzACMQGxMi7O9_Mh0V4AaABAg,14053,14027,1,UgzACMQGxMi7O9_Mh0V4AaABAg,data,items.*,fetched (200),2023-10-16 14:47:04.938112,YouTube:/commentThreads,Weghost was disappointed with garnacho,0,0
j3LftIHVMZE/UgxhqIl70YZGfeYsJcV4AaABAg,14054,14027,1,UgxhqIl70YZGfeYsJcV4AaABAg,data,items.*,fetched (200),2023-10-16 14:47:04.938112,YouTube:/commentThreads,Says something when our goalie was our best player and Dawson a defender got forward and had more chances to score than our forwards,2,0
j3LftIHVMZE/Ugy2rdEn69ijG4hEbLh4AaABAg,14055,14027,1,Ugy2rdEn69ijG4hEbLh4AaABAg,data,items.*,fetched (200),2023-10-16 14:47:04.938112,YouTube:/commentThreads,Benley,0,0
j3LftIHVMZE/UgyQDX9tdWLCH-JXjO14AaABAg,14056,14027,1,UgyQDX9tdWLCH-JXjO14AaABAg,data,items.*,fetched (200),2023-10-16 14:47:04.938112,YouTube:/commentThreads,"진짜 골키퍼 맛집이긴 하다 후이 파트리시우, 조세 사, 벤틀리까지 ㄷㄷ",1,0
j3LftIHVMZE/UgwfxAWdHsUr397HX1R4AaABAg,14057,14027,1,UgwfxAWdHsUr397HX1R4AaABAg,data,items.*,fetched (200),2023-10-16 14:47:04.938112,YouTube:/commentThreads,Can we have your Ruben Neves?,0,0
